start	end	type
2	3	ENTRY
2	4	EXIT
7	8	PARENT_OF
6	7	PARENT_OF
9	10	PARENT_OF
9	11	PARENT_OF
6	9	PARENT_OF
5	6	PARENT_OF
12	13	ENTRY
12	14	EXIT
12	15	PARENT_OF
12	16	PARENT_OF
22	23	PARENT_OF
21	22	PARENT_OF
21	24	PARENT_OF
20	21	PARENT_OF
19	20	PARENT_OF
27	28	PARENT_OF
26	27	PARENT_OF
30	31	PARENT_OF
29	30	PARENT_OF
29	32	PARENT_OF
26	29	PARENT_OF
25	26	PARENT_OF
37	38	PARENT_OF
36	37	PARENT_OF
40	41	PARENT_OF
39	40	PARENT_OF
39	42	PARENT_OF
36	39	PARENT_OF
35	36	PARENT_OF
34	35	PARENT_OF
46	47	PARENT_OF
45	46	PARENT_OF
48	49	PARENT_OF
48	50	PARENT_OF
45	48	PARENT_OF
44	45	PARENT_OF
43	44	PARENT_OF
34	43	PARENT_OF
33	34	PARENT_OF
51	52	PARENT_OF
55	56	PARENT_OF
54	55	PARENT_OF
58	59	PARENT_OF
57	58	PARENT_OF
62	63	PARENT_OF
61	62	PARENT_OF
61	64	PARENT_OF
60	61	PARENT_OF
57	60	PARENT_OF
54	57	PARENT_OF
53	54	PARENT_OF
66	67	PARENT_OF
65	66	PARENT_OF
69	70	PARENT_OF
68	69	PARENT_OF
73	74	PARENT_OF
72	73	PARENT_OF
72	75	PARENT_OF
71	72	PARENT_OF
68	71	PARENT_OF
65	68	PARENT_OF
53	65	PARENT_OF
77	78	PARENT_OF
76	77	PARENT_OF
79	80	PARENT_OF
81	82	PARENT_OF
79	81	PARENT_OF
76	79	PARENT_OF
53	76	PARENT_OF
84	85	PARENT_OF
83	84	PARENT_OF
86	87	PARENT_OF
88	89	PARENT_OF
86	88	PARENT_OF
83	86	PARENT_OF
53	83	PARENT_OF
51	53	PARENT_OF
33	51	PARENT_OF
25	33	PARENT_OF
19	25	PARENT_OF
18	19	PARENT_OF
17	18	PARENT_OF
12	17	PARENT_OF
12	90	PARENT_OF
5	12	PARENT_OF
91	92	ENTRY
91	93	EXIT
91	94	PARENT_OF
91	95	PARENT_OF
97	98	PARENT_OF
96	97	PARENT_OF
101	102	PARENT_OF
100	101	PARENT_OF
103	104	PARENT_OF
103	105	PARENT_OF
100	103	PARENT_OF
99	100	PARENT_OF
96	99	PARENT_OF
106	107	PARENT_OF
96	106	PARENT_OF
112	113	PARENT_OF
111	112	PARENT_OF
114	115	PARENT_OF
111	114	PARENT_OF
110	111	PARENT_OF
110	116	PARENT_OF
109	110	PARENT_OF
119	120	PARENT_OF
118	119	PARENT_OF
122	123	PARENT_OF
121	122	PARENT_OF
124	125	PARENT_OF
121	124	PARENT_OF
118	121	PARENT_OF
117	118	PARENT_OF
126	127	PARENT_OF
117	126	PARENT_OF
130	131	PARENT_OF
