id:int	labels:label	type	flags:string_array	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment
0	Filesystem	Directory									"xcms"	
1	Filesystem	File									"index.php"	
2	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					""	8	"xcms/index.php"	
3	Artificial	CFG_FUNC_ENTRY					2				"xcms/index.php"	
4	Artificial	CFG_FUNC_EXIT					2				"xcms/index.php"	
5	AST	AST_STMT_LIST		1		0	2		""			
6	AST	AST_CALL		4		0	2		""			
7	AST	AST_NAME	NAME_NOT_FQ	4		0	2		""			
8	AST	string		4	"define"	0	2		""			
9	AST	AST_ARG_LIST		4		1	2		""			
10	AST	string		4	"XCMS"	0	2		""			
11	AST	AST_BINARY_OP	BINARY_CONCAT	4		1	2		""			
12	AST	AST_CALL		4		0	2		""			
13	AST	AST_NAME	NAME_NOT_FQ	4		0	2		""			
14	AST	string		4	"dirname"	0	2		""			
15	AST	AST_ARG_LIST		4		1	2		""			
16	AST	AST_MAGIC_CONST	MAGIC_FILE	4		0	2		""			
17	AST	AST_CONST		4		1	2		""			
18	AST	AST_NAME	NAME_NOT_FQ	4		0	2		""			
19	AST	string		4	"DIRECTORY_SEPARATOR"	0	2		""			
20	AST	AST_INCLUDE_OR_EVAL	EXEC_REQUIRE	6		1	2		""			
21	AST	AST_BINARY_OP	BINARY_CONCAT	6		0	2		""			
22	AST	AST_CONST		6		0	2		""			
23	AST	AST_NAME	NAME_NOT_FQ	6		0	2		""			
24	AST	string		6	"XCMS"	0	2		""			
25	AST	string		6	"core/xcms.php"	1	2		""			
26	AST	AST_STATIC_CALL		8		2	2		""			
27	AST	AST_NAME	NAME_NOT_FQ	8		0	2		""			
28	AST	string		8	"xcms"	0	2		""			
29	AST	string		8	"run"	1	2		""			
30	AST	AST_ARG_LIST		8		2	2		""			
31	Filesystem	File									"article.model.class.php"	
32	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					""	5	"xcms/model/user/article.model.class.php"	
33	Artificial	CFG_FUNC_ENTRY					32				"xcms/model/user/article.model.class.php"	
34	Artificial	CFG_FUNC_EXIT					32				"xcms/model/user/article.model.class.php"	
35	AST	AST_STMT_LIST		1		0	32		""			
36	AST	AST_CALL		2		0	32		""			
37	AST	AST_NAME	NAME_NOT_FQ	2		0	32		""			
38	AST	string		2	"var_dump"	0	32		""			
39	AST	AST_ARG_LIST		2		1	32		""			
40	AST	AST_VAR		2		0	32		""			
41	AST	string		2	"_POST"	0	32		""			
42	AST	AST_CLASS		3		1	32		""	4	articleModel	
43	AST	AST_NAME	NAME_NOT_FQ	3		0	32	articleModel	""			
44	AST	string		3	"model"	0	32	articleModel	""			
45	AST	NULL		3		1	32	articleModel	""			
46	AST	AST_TOPLEVEL	TOPLEVEL_CLASS	3		2	32		""	4	"articleModel"	
47	Artificial	CFG_FUNC_ENTRY					46				"articleModel"	
48	Artificial	CFG_FUNC_EXIT					46				"articleModel"	
49	AST	AST_STMT_LIST		3		0	46	articleModel	""			
50	Filesystem	File									"user.model.class.php"	
51	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					""	12	"xcms/model/user/user.model.class.php"	
52	Artificial	CFG_FUNC_ENTRY					51				"xcms/model/user/user.model.class.php"	
53	Artificial	CFG_FUNC_EXIT					51				"xcms/model/user/user.model.class.php"	
54	AST	AST_STMT_LIST		1		0	51		""			
55	AST	AST_CLASS		2		0	51		""	12	userModel	
56	AST	AST_NAME	NAME_NOT_FQ	2		0	51	userModel	""			
57	AST	string		2	"model"	0	51	userModel	""			
58	AST	NULL		2		1	51	userModel	""			
59	AST	AST_TOPLEVEL	TOPLEVEL_CLASS	2		2	51		""	12	"userModel"	
60	Artificial	CFG_FUNC_ENTRY					59				"userModel"	
61	Artificial	CFG_FUNC_EXIT					59				"userModel"	
62	AST	AST_STMT_LIST		2		0	59	userModel	""			
63	AST	AST_PROP_DECL	MODIFIER_PROTECTED	5		0	59	userModel	""			
64	AST	AST_PROP_ELEM		5		0	59	userModel	""			
65	AST	string		5	"table_name"	0	59	userModel	""			
66	AST	string		5	"user"	1	59	userModel	""			
67	AST	AST_METHOD	MODIFIER_PUBLIC	7		1	59	userModel	""	10	__construct	
68	Artificial	CFG_FUNC_ENTRY					67	userModel	""		"__construct"	
69	Artificial	CFG_FUNC_EXIT					67	userModel	""		"__construct"	
70	AST	AST_PARAM_LIST		7		0	67	userModel	""			
71	AST	NULL		7		1	67	userModel	""			
72	AST	AST_STMT_LIST		8		2	67	userModel	""			
73	AST	AST_STATIC_CALL		9		0	67	userModel	""			
74	AST	AST_NAME	NAME_NOT_FQ	9		0	67	userModel	""			
75	AST	string		9	"parent"	0	67	userModel	""			
76	AST	string		9	"__construct"	1	67	userModel	""			
77	AST	AST_ARG_LIST		9		2	67	userModel	""			
78	AST	NULL		7		3	67	userModel	""			
79	Filesystem	Directory									"user"	
80	Filesystem	Directory									"model"	
81	Filesystem	File									"xcms.php"	
82	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					""	68	"xcms/core/xcms.php"	
83	Artificial	CFG_FUNC_ENTRY					82				"xcms/core/xcms.php"	
84	Artificial	CFG_FUNC_EXIT					82				"xcms/core/xcms.php"	
85	AST	AST_STMT_LIST		1		0	82		""			
86	AST	AST_CALL		3		0	82		""			
87	AST	AST_NAME	NAME_NOT_FQ	3		0	82		""			
88	AST	string		3	"define"	0	82		""			
89	AST	AST_ARG_LIST		3		1	82		""			
90	AST	string		3	"IN_XCMS"	0	82		""			
91	AST	AST_CONST		3		1	82		""			
92	AST	AST_NAME	NAME_NOT_FQ	3		0	82		""			
93	AST	string		3	"true"	0	82		""			
94	AST	AST_CALL		7		1	82		""			
95	AST	AST_NAME	NAME_NOT_FQ	7		0	82		""			
96	AST	string		7	"define"	0	82		""			
97	AST	AST_ARG_LIST		7		1	82		""			
98	AST	string		7	"DATA_DIR"	0	82		""			
99	AST	AST_BINARY_OP	BINARY_CONCAT	7		1	82		""			
100	AST	AST_CONST		7		0	82		""			
101	AST	AST_NAME	NAME_NOT_FQ	7		0	82		""			
102	AST	string		7	"XCMS"	0	82		""			
103	AST	string		7	"data/"	1	82		""			
104	AST	AST_CALL		8		2	82		""			
105	AST	AST_NAME	NAME_NOT_FQ	8		0	82		""			
106	AST	string		8	"define"	0	82		""			
107	AST	AST_ARG_LIST		8		1	82		""			
108	AST	string		8	"TEMPLATE_DIR"	0	82		""			
109	AST	AST_BINARY_OP	BINARY_CONCAT	8		1	82		""			
110	AST	AST_CONST		8		0	82		""			
111	AST	AST_NAME	NAME_NOT_FQ	8		0	82		""			
112	AST	string		8	"XCMS"	0	82		""			
113	AST	string		8	"template/"	1	82		""			
114	AST	AST_CALL		9		3	82		""			
115	AST	AST_NAME	NAME_NOT_FQ	9		0	82		""			
116	AST	string		9	"define"	0	82		""			
117	AST	AST_ARG_LIST		9		1	82		""			
118	AST	string		9	"LIBRARY_DIR"	0	82		""			
119	AST	AST_BINARY_OP	BINARY_CONCAT	9		1	82		""			
120	AST	AST_CONST		9		0	82		""			
121	AST	AST_NAME	NAME_NOT_FQ	9		0	82		""			
122	AST	string		9	"XCMS"	0	82		""			
123	AST	string		9	"core/library/"	1	82		""			
124	AST	AST_CALL		10		4	82		""			
125	AST	AST_NAME	NAME_NOT_FQ	10		0	82		""			
126	AST	string		10	"define"	0	82		""			
127	AST	AST_ARG_LIST		10		1	82		""			
128	AST	string		10	"USER_CONTROLLER_DIR"	0	82		""			
129	AST	AST_BINARY_OP	BINARY_CONCAT	10		1	82		""			
130	AST	AST_CONST		10		0	82		""			
131	AST	AST_NAME	NAME_NOT_FQ	10		0	82		""			
132	AST	string		10	"XCMS"	0	82		""			
133	AST	string		10	"controller/user/"	1	82		""			
134	AST	AST_CALL		11		5	82		""			
135	AST	AST_NAME	NAME_NOT_FQ	11		0	82		""			
136	AST	string		11	"define"	0	82		""			
137	AST	AST_ARG_LIST		11		1	82		""			
138	AST	string		11	"USER_MODEL_DIR"	0	82		""			
139	AST	AST_BINARY_OP	BINARY_CONCAT	11		1	82		""			
140	AST	AST_CONST		11		0	82		""			
141	AST	AST_NAME	NAME_NOT_FQ	11		0	82		""			
142	AST	string		11	"XCMS"	0	82		""			
143	AST	string		11	"model/user/"	1	82		""			
144	AST	AST_CLASS		17		6	82		""	68	xcms	"/**\n * Class xcms\n */"
145	AST	NULL		17		0	82	xcms	""			
146	AST	NULL		17		1	82	xcms	""			
147	AST	AST_TOPLEVEL	TOPLEVEL_CLASS	17		2	82		""	68	"xcms"	
148	Artificial	CFG_FUNC_ENTRY					147				"xcms"	
149	Artificial	CFG_FUNC_EXIT					147				"xcms"	
150	AST	AST_STMT_LIST		17		0	147	xcms	""			
151	AST	AST_METHOD	MODIFIER_PRIVATE,MODIFIER_STATIC	19		0	147	xcms	""	24	init	
152	Artificial	CFG_FUNC_ENTRY					151	xcms	""		"init"	
153	Artificial	CFG_FUNC_EXIT					151	xcms	""		"init"	
154	AST	AST_PARAM_LIST		19		0	151	xcms	""			
155	AST	NULL		19		1	151	xcms	""			
156	AST	AST_STMT_LIST		19		2	151	xcms	""			
157	AST	AST_INCLUDE_OR_EVAL	EXEC_REQUIRE_ONCE	21		0	151	xcms	""			
158	AST	AST_BINARY_OP	BINARY_CONCAT	21		0	151	xcms	""			
159	AST	AST_CONST		21		0	151	xcms	""			
160	AST	AST_NAME	NAME_NOT_FQ	21		0	151	xcms	""			
161	AST	string		21	"LIBRARY_DIR"	0	151	xcms	""			
