start	end	type
2	3	ENTRY
2	4	EXIT
11	12	PARENT_OF
10	11	PARENT_OF
10	13	PARENT_OF
9	10	PARENT_OF
8	9	PARENT_OF
7	8	PARENT_OF
17	18	PARENT_OF
16	17	PARENT_OF
16	19	PARENT_OF
15	16	PARENT_OF
21	22	PARENT_OF
20	21	PARENT_OF
20	23	PARENT_OF
15	20	PARENT_OF
14	15	PARENT_OF
7	14	PARENT_OF
6	7	PARENT_OF
5	6	PARENT_OF
26	27	PARENT_OF
25	26	PARENT_OF
28	29	PARENT_OF
25	28	PARENT_OF
24	25	PARENT_OF
5	24	PARENT_OF
32	33	PARENT_OF
31	32	PARENT_OF
34	35	PARENT_OF
31	34	PARENT_OF
30	31	PARENT_OF
5	30	PARENT_OF
37	38	PARENT_OF
36	37	PARENT_OF
39	40	PARENT_OF
36	39	PARENT_OF
5	36	PARENT_OF
42	43	PARENT_OF
41	42	PARENT_OF
44	45	PARENT_OF
41	44	PARENT_OF
5	41	PARENT_OF
47	48	PARENT_OF
46	47	PARENT_OF
49	50	PARENT_OF
53	54	PARENT_OF
52	53	PARENT_OF
55	56	PARENT_OF
52	55	PARENT_OF
51	52	PARENT_OF
58	59	PARENT_OF
57	58	PARENT_OF
51	57	PARENT_OF
49	51	PARENT_OF
46	49	PARENT_OF
5	46	PARENT_OF
60	61	PARENT_OF
5	60	PARENT_OF
62	63	PARENT_OF
5	62	PARENT_OF
2	5	PARENT_OF
1	2	FILE_OF
65	66	ENTRY
65	67	EXIT
69	70	ENTRY
69	71	EXIT
73	74	PARENT_OF
73	75	PARENT_OF
77	78	PARENT_OF
76	77	PARENT_OF
73	76	PARENT_OF
72	73	PARENT_OF
79	80	PARENT_OF
79	81	PARENT_OF
83	84	PARENT_OF
82	83	PARENT_OF
79	82	PARENT_OF
72	79	PARENT_OF
69	72	PARENT_OF
69	85	PARENT_OF
88	89	PARENT_OF
87	88	PARENT_OF
87	90	PARENT_OF
86	87	PARENT_OF
96	97	PARENT_OF
95	96	PARENT_OF
94	95	PARENT_OF
93	94	PARENT_OF
100	101	PARENT_OF
99	100	PARENT_OF
98	99	PARENT_OF
93	98	PARENT_OF
92	93	PARENT_OF
105	106	PARENT_OF
104	105	PARENT_OF
107	108	PARENT_OF
104	107	PARENT_OF
103	104	PARENT_OF
109	110	PARENT_OF
103	109	PARENT_OF
102	103	PARENT_OF
92	102	PARENT_OF
91	92	PARENT_OF
86	91	PARENT_OF
69	86	PARENT_OF
69	111	PARENT_OF
68	69	PARENT_OF
113	114	PARENT_OF
112	113	PARENT_OF
112	115	PARENT_OF
68	112	PARENT_OF
119	120	PARENT_OF
118	119	PARENT_OF
118	121	PARENT_OF
117	118	PARENT_OF
116	117	PARENT_OF
124	125	PARENT_OF
123	124	PARENT_OF
123	126	PARENT_OF
122	123	PARENT_OF
